ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
AEP,74.89,514,"36,739",653,15777143,531,14769052,289,354272960,"1,473",384819155,104,2666170,110,704276,"28-11-2022 21:59:51"
AEPPZ,118.17,17,"1,049",22,931180,21,2719951,8,16437709,51,20088840,5,141444,5,622821,"28-11-2022 21:59:51"
AERC,3.96,15,2,12,396465,9,1689997,2,1472439,23,614023,4,31698,6,1648698,"28-11-2022 21:59:51"
AESE,3.18,39,2,8,40696,9,505907,7,697745,24,1244348,5,35964,2,426626,"28-11-2022 21:59:51"
AEY,3.63,14,1,6,182688,6,116919,7,209868,19,509475,2,62563,4,116139,"28-11-2022 21:59:51"
AEYE,16.86,12,9,5,7799,6,67924,14,1864156,25,1939879,2,4908,1,7654,"28-11-2022 21:59:51"
AEZS,0.6,5,0,3,2484,19,33448,7,6829,29,29103,1,488,17,33076,"28-11-2022 21:59:51"
AFAQ,89.61,22,201,24,4174583,8,984316,26,14913886,58,20072785,9,1668222,4,627794,"28-11-2022 21:59:51"
AFAQU,3.25,22,7,3,3046,9,2533887,14,1808544,26,728389,2,2821,7,2501209,"28-11-2022 21:59:51"
AFAR,89.41,12,106,19,4524982,4,750667,14,5109471,37,10385120,17,3864071,3,750000,"28-11-2022 21:59:51"
AFARU,10.0,12,12,1,101140,16,2394920,6,1345818,23,1150242,1,101140,10,2301626,"28-11-2022 21:59:51"
AFBI,15.19,7,15,4,33666,2,8037,10,966151,16,1007854,1,13693,0,0,"28-11-2022 21:59:51"
AFCG,36.83,20,128,47,796157,24,1383196,15,5321046,86,7500399,19,201874,5,221123,"28-11-2022 21:59:51"
AFIB,37.44,28,7,17,1102686,29,2152249,11,7397223,57,10652158,8,125807,18,836736,"28-11-2022 21:59:51"
AFMD,57.64,146,176,64,14225866,54,9704808,26,60191089,144,84121763,15,9653385,17,1863419,"28-11-2022 21:59:51"
AFRI,1.19,26,4,9,265137,3,1395543,1,1344967,13,315713,7,243685,3,1395543,"28-11-2022 21:59:51"
AFRM,76.56,230,"2,303",182,25979136,135,14084437,91,136013822,408,176077395,67,5349567,55,8509380,"28-11-2022 21:59:51"
AFYA,54.68,45,358,35,1599114,28,2798337,6,19939220,69,24336671,17,467570,8,599418,"28-11-2022 21:59:51"
AGBA,161.04,1,10,4,132700,4,119914,11,1999760,19,2252374,1,77766,1,11302,"28-11-2022 21:59:51"
AGEN,53.83,305,461,90,30908363,56,13658840,32,119513387,178,164080590,26,3402234,11,2088162,"28-11-2022 21:59:51"
AGFS,68.09,53,107,7,8095082,16,8125925,14,19894220,37,36115227,1,7788541,3,7955820,"28-11-2022 21:59:51"
