ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
PODC,4.2,23,2,16,35724,12,115078,16,809799,44,960601,5,4191,3,1548,"01-10-2023 15:30:30"
PODD,102.24,70,"11,386",291,3907528,279,5568429,81,61912337,651,71388294,73,442562,74,942077,"01-10-2023 15:30:30"
POET,2.03,41,3,8,76295,6,423566,3,322660,17,822521,2,10910,1,31545,"01-10-2023 15:30:30"
POL,31.3,105,3,12,4818619,25,3684199,21,24514175,58,33016993,4,4782725,9,167406,"01-10-2023 15:30:30"
POLA,6.01,13,1,6,2529,10,387317,9,388165,25,778011,2,58,7,352900,"01-10-2023 15:30:30"
POOL,102.94,39,"14,316",379,3128340,294,2924229,101,34148426,774,40200995,77,486877,56,336796,"01-10-2023 15:30:30"
POR,102.78,101,"4,206",201,12071766,179,9806714,55,82028522,435,103907002,43,778632,55,2778480,"01-10-2023 15:30:30"
PORT,57.4,27,165,14,4616830,32,10595273,19,401927,65,15614030,8,3302418,26,9715522,"01-10-2023 15:30:30"
POST,85.13,61,"4,468",144,2954493,183,3432101,67,45727175,394,52113769,36,419672,58,1405002,"01-10-2023 15:30:30"
POWI,103.34,57,"4,526",168,3571529,176,2745114,39,52997020,383,59313663,44,540024,35,117711,"01-10-2023 15:30:30"
POWL,67.21,12,661,87,1083490,52,872527,14,6015681,153,7971698,36,489136,8,38594,"01-10-2023 15:30:30"
POWW,24.28,118,58,53,2101627,62,1858411,38,24676419,153,28636457,15,469889,21,743622,"01-10-2023 15:30:30"
PPBI,93.01,96,"1,941",123,6461353,115,5888029,31,76852406,269,89201788,33,1279849,40,1903056,"01-10-2023 15:30:30"
PPBT,1.28,21,0,9,173001,6,20707,5,79781,20,273489,5,134273,4,10161,"01-10-2023 15:30:30"
PPC,16.74,237,905,102,6246055,128,8226791,31,25168025,261,39640871,35,1838383,43,2411907,"01-10-2023 15:30:30"
PPG,80.8,236,"24,699",485,14604792,387,13086246,231,162597302,"1,103",190288340,126,2971701,44,284987,"01-10-2023 15:30:30"
PPHP,202.72,1,19,5,104753,2,10120,12,1629249,19,1744122,4,44807,0,0,"01-10-2023 15:30:30"
PPIH,26.24,8,17,9,103765,8,70331,9,1941600,26,2115696,3,43759,1,42256,"01-10-2023 15:30:30"
PPL,73.53,737,"12,770",337,43463700,397,52817472,137,445731990,871,542013162,68,6325627,89,9579229,"01-10-2023 15:30:30"
PPSI,10.87,10,7,18,756448,5,51391,5,283939,28,1091778,11,701461,4,51291,"01-10-2023 15:30:30"
PPT,31.53,102,108,28,1754022,39,1781420,28,28696916,95,32232358,7,94201,10,668055,"01-10-2023 15:30:30"
PPTA,76.38,63,157,33,6110907,33,2786882,15,39346018,81,48243807,26,3944723,14,391964,"01-10-2023 15:30:30"
PPYAU,0.06,30,0,1,1987,6,829566,0,814767,7,16786,0,0,5,687106,"01-10-2023 15:30:30"
PR,91.91,329,"4,219",154,40986691,137,32229635,32,228973742,323,302190068,45,13125314,56,11575516,"01-10-2023 15:30:30"
PRA,86.21,52,848,66,2994535,83,4745686,30,37146288,179,44886509,18,246494,22,1081256,"01-10-2023 15:30:30"
PRAA,97.68,39,736,64,5329373,118,5865849,20,27136926,202,38332148,18,1620377,50,3494556,"01-10-2023 15:30:30"
PRAX,91.08,129,200,41,77601507,57,14066312,12,25406588,110,117074407,22,41066581,32,8154968,"01-10-2023 15:30:30"
PRCH,59.06,98,47,46,8679991,59,16834700,18,32616319,123,58131010,22,3416416,25,1325650,"01-10-2023 15:30:30"
PRCT,72.41,50,"1,181",83,5682747,41,2658310,18,27649034,142,35990091,27,1822310,21,1109430,"01-10-2023 15:30:30"
PRDO,93.43,66,"1,048",97,3389514,101,3543488,41,54364047,239,61297049,23,1555617,18,498926,"01-10-2023 15:30:30"
PRE,12.1,137,8,8,10898628,3,106747,10,5564888,21,16570263,7,10873628,1,35500,"01-10-2023 15:30:30"
PRFT,96.32,35,"1,940",118,2880047,143,1992568,40,28661831,301,33534446,21,93208,47,942391,"01-10-2023 15:30:30"
PRFX,37.31,2,2,3,516588,2,1957,2,62817,7,581362,1,1998,1,1419,"01-10-2023 15:30:30"
PRG,99.49,46,"1,510",90,3828983,116,5873055,38,35773725,244,45475763,45,1112186,19,1578545,"01-10-2023 15:30:30"
PRGO,98.68,135,"4,269",172,11588144,179,9721765,52,112298920,403,133608829,49,2415214,49,1942455,"01-10-2023 15:30:30"
PRGS,105.02,43,"2,395",131,3494335,154,4640667,42,37409989,327,45544991,42,1469553,38,1217396,"01-10-2023 15:30:30"
PRH,0.01,12,0,1,55,1,100,1,587,3,742,0,0,1,100,"01-10-2023 15:30:30"
PRI,106.51,36,"7,391",159,5422552,174,1287833,68,31385660,401,38096045,50,163885,41,494836,"01-10-2023 15:30:30"
PRIM,90.44,53,"1,579",86,3328115,91,3120277,30,41782706,207,48231098,33,1757387,25,495071,"01-10-2023 15:30:30"
PRK,52.38,16,800,61,196769,89,382162,39,7882799,189,8461730,19,67488,26,47575,"01-10-2023 15:30:30"
PRLB,85.2,26,587,75,1417869,97,1688840,46,19126664,218,22233373,22,379764,26,191749,"01-10-2023 15:30:30"
PRLD,80.7,55,137,40,13222048,24,502737,6,30503218,70,44228003,15,1602216,15,355117,"01-10-2023 15:30:30"
PRLH,89.93,20,193,17,5957878,29,6888299,23,5140367,69,17986544,5,1911334,16,4299460,"01-10-2023 15:30:30"
PRM,95.81,155,672,92,11282511,46,14696857,20,122068902,158,148048270,25,1861049,12,914274,"01-10-2023 15:30:30"
PRME,48.86,97,454,54,26045546,25,6951937,14,14543754,93,47541237,20,13911582,13,1185501,"01-10-2023 15:30:30"
PRMW,86.09,159,"1,893",120,12917150,97,12879021,39,111412026,256,137208197,36,2316863,25,4377443,"01-10-2023 15:30:30"
PRO,95.19,46,"1,523",83,5210683,66,3924706,24,34846180,173,43981569,24,668418,18,475421,"01-10-2023 15:30:30"
PROC,0.08,113,0,4,10710,3,159412,4,84137,11,85985,3,10305,1,54,"01-10-2023 15:30:30"
PROF,35.91,21,78,14,163444,13,277526,6,7192795,33,7633765,3,29036,2,17639,"01-10-2023 15:30:30"
PROK,64.59,62,182,45,6590927,10,1574020,6,31617307,61,39782254,25,1123771,7,468491,"01-10-2023 15:30:30"
PROV,53.25,7,49,12,71791,14,54977,9,3604541,35,3731309,3,47654,4,5891,"01-10-2023 15:30:30"
PRPC,88.42,5,44,8,413056,9,1792483,11,1806295,28,4011834,5,374602,5,1695352,"01-10-2023 15:30:30"
PRPH,12.92,17,10,22,115939,21,451208,9,1608405,52,2175552,12,74514,6,229413,"01-10-2023 15:30:30"
PRPL,93.23,105,168,66,7264810,53,8910072,15,82019832,134,98194714,26,3162608,23,3250316,"01-10-2023 15:30:30"
PRPO,16.43,1,1,4,116844,5,2416,10,107143,19,226403,1,116254,2,1575,"01-10-2023 15:30:30"
PRQR,26.15,81,27,20,793523,22,2142172,21,18199294,63,21134989,8,449951,13,695679,"01-10-2023 15:30:30"
PRS,1.73,23,9,3,19150,0,0,1,370785,4,389935,1,7580,0,0,"01-10-2023 15:30:30"
PRSO,14.75,22,1,8,2276810,7,219137,6,813608,21,3309555,5,102794,4,126839,"01-10-2023 15:30:30"
PRSR,17.85,2,4,11,259043,8,290169,3,157561,22,391651,8,232693,6,223805,"01-10-2023 15:30:30"
PRSRU,0.22,32,1,3,350,3,34566,7,35790,13,70706,3,350,2,31732,"01-10-2023 15:30:30"
PRST,11.9,58,10,27,3484526,2,1091112,8,2275732,37,6851370,19,1588824,1,150,"01-10-2023 15:30:30"
PRT,1.39,12,1,6,15771,6,7017,6,146161,18,168949,2,1803,2,314,"01-10-2023 15:30:30"
PRTA,97.23,54,"2,512",107,3923584,85,3546598,38,44583885,230,52054067,34,663293,27,324307,"01-10-2023 15:30:30"
PRTC,0.29,27,2,1,499,1,1,1,79651,3,80151,0,0,0,0,"01-10-2023 15:30:30"
PRTG,2.02,18,1,9,269644,5,80868,11,8681,25,359193,6,262340,3,80200,"01-10-2023 15:30:30"
PRTH,11.4,77,28,14,209140,15,331943,10,8188323,39,8729406,3,58558,3,32466,"01-10-2023 15:30:30"
PRTS,74.36,57,175,68,7166380,75,7553316,16,27680532,159,42400228,18,1476684,41,4044093,"01-10-2023 15:30:30"
PRU,55.44,363,"19,097",531,14139582,522,19304518,206,167811762,"1,259",201255862,105,821918,101,3709199,"01-10-2023 15:30:30"
PRVA,93.16,117,"2,515",170,61879777,72,32892834,24,14566961,266,109339572,74,19242557,27,1020670,"01-10-2023 15:30:30"
PSA,80.15,176,"37,136",493,11076339,410,12630317,169,117217480,"1,072",140924136,115,1341196,80,457868,"01-10-2023 15:30:30"
PSEC,8.09,408,200,121,4027132,95,1797074,64,27203795,280,33028001,26,1328911,40,971465,"01-10-2023 15:30:30"
PSF,13.65,12,30,20,171113,14,64141,14,1405896,48,1641150,2,62782,5,34967,"01-10-2023 15:30:30"
PSFE,51.79,61,380,61,2741309,66,3980334,26,25006383,153,31728026,15,783112,36,941837,"01-10-2023 15:30:30"
PSHG,5.8,11,1,2,58700,6,337156,1,260562,9,656418,2,58700,3,45081,"01-10-2023 15:30:30"
PSMT,81.63,31,"1,886",118,1370078,88,1467425,44,22508449,250,25345952,34,285304,19,229477,"01-10-2023 15:30:30"
PSN,98.87,105,"5,636",116,3711818,93,4898771,39,95089615,248,103700204,38,754853,34,329529,"01-10-2023 15:30:30"
PSNL,54.43,49,32,27,1247717,30,2522476,16,22639285,73,26409478,8,91208,5,340839,"01-10-2023 15:30:30"
PSNY,4.42,468,55,47,5587314,35,2544918,22,12571651,104,20703883,22,1287391,15,413002,"01-10-2023 15:30:30"
PSNYW,8.44,20,1,4,15011,8,193238,12,1521273,24,1729522,2,426,3,82212,"01-10-2023 15:30:30"
PSO,2.24,715,168,55,1335143,55,3188159,23,11461819,133,15985121,20,266658,16,1012194,"01-10-2023 15:30:30"
PSQH,54.62,24,121,26,6910816,31,8574928,22,2191339,79,13294405,17,5407768,16,6802843,"01-10-2023 15:30:30"
PSTG,83.49,312,"9,277",228,31381911,243,26617618,51,202448379,522,260447908,108,9880310,67,7073768,"01-10-2023 15:30:30"
PSTL,59.07,21,164,49,603114,47,1537222,17,10041757,113,12182093,9,91301,12,1048085,"01-10-2023 15:30:30"
PSTV,3.53,3,0,1,1,22,1912874,0,1811163,23,101712,1,1,15,550743,"01-10-2023 15:30:30"
PSTX,51.14,87,106,61,8980597,53,9059399,14,26413282,128,44453278,25,1218022,36,5189090,"01-10-2023 15:30:30"
PSX,73.12,445,"39,119",670,19138555,744,25095511,263,281347632,"1,677",325581698,108,2263883,116,3771406,"01-10-2023 15:30:30"
PT,0.07,507,0,2,237172,5,56271,0,66030,7,359473,0,0,3,48972,"01-10-2023 15:30:30"
PTA,19.96,55,193,18,760497,25,421210,6,9852033,49,11033740,7,157468,11,116204,"01-10-2023 15:30:30"
PTC,87.95,119,"14,808",261,8762153,245,7491287,96,88261299,602,104514739,71,1684402,51,900530,"01-10-2023 15:30:30"
PTCT,107.99,75,"1,823",113,7156560,97,4530419,24,69677275,234,81364254,30,1532509,29,1114232,"01-10-2023 15:30:30"
PTEN,90.23,415,"5,184",191,29866676,189,39109226,46,305606017,426,374581919,55,5396937,53,5721303,"01-10-2023 15:30:30"
PTGX,99.33,58,953,103,14025894,64,10336655,17,32782198,184,57144747,45,6367185,15,1379666,"01-10-2023 15:30:30"
PTHR,62.61,12,80,36,7619009,0,0,0,0,36,7619009,36,7619009,0,0,"01-10-2023 15:30:30"
PTHRU,27.85,12,36,2,376398,37,7150496,13,4166219,52,3360675,2,376398,32,6003475,"01-10-2023 15:30:30"
PTIX,2.24,4,0,3,2310,2,556,6,94332,11,97198,1,1,1,305,"01-10-2023 15:30:30"
PTLO,84.09,55,713,106,8825544,59,3854057,45,33657339,210,46336940,28,2390664,22,522742,"01-10-2023 15:30:30"
PTMN,28.68,10,52,10,165823,20,160362,8,2400429,38,2726614,4,131518,8,47072,"01-10-2023 15:30:30"
PTN,7.34,12,1,7,20811,12,135592,22,720418,41,876821,4,20159,8,74073,"01-10-2023 15:30:30"
PTON,84.43,339,"1,445",171,41329186,176,45813546,122,199049881,469,286192613,57,8960605,59,14361492,"01-10-2023 15:30:30"
PTPI,4.83,2,0,9,71339,0,0,5,30774,14,102113,5,50178,0,0,"01-10-2023 15:30:30"
PTRS,17.59,18,25,14,1047289,10,1191940,11,924140,35,3163369,2,16415,3,832037,"01-10-2023 15:30:30"
PTSI,22.6,22,107,34,293190,34,196310,12,4490517,80,4980017,7,146763,10,92938,"01-10-2023 15:30:30"
PTVE,22.38,178,325,68,3974254,69,3003891,17,32939344,154,39917489,21,1548266,31,2195345,"01-10-2023 15:30:30"
PTWO,33.55,5,20,6,481796,33,9258069,4,7898061,43,1841804,4,257641,30,9048152,"01-10-2023 15:30:30"
PTY,14.4,111,208,70,1616951,42,737784,45,13573660,157,15928395,16,348893,8,60873,"01-10-2023 15:30:30"
PUBM,47.78,43,247,63,2614731,75,3321054,28,14443456,166,20379241,22,419195,30,1913554,"01-10-2023 15:30:30"
PUCK,55.47,17,98,12,768108,12,1279845,19,7288659,43,9336612,4,157968,7,1033474,"01-10-2023 15:30:30"
PUK,1.9,"1,377",574,92,1554204,69,1444959,31,23185607,192,26184770,25,180211,18,666408,"01-10-2023 15:30:30"
PULM,11.62,4,1,3,15506,8,103081,6,305651,17,424238,1,12113,3,40181,"01-10-2023 15:30:30"
PUMP,78.85,113,945,85,7859500,131,10699850,40,70365298,256,88924648,22,1363127,50,3264404,"01-10-2023 15:30:30"
PUYI,0.03,90,0,2,13221,0,0,2,12366,4,25587,2,13221,0,0,"01-10-2023 15:30:30"
PVBC,49.46,18,85,31,1914353,64,2385587,6,4448166,101,8748106,17,464973,34,582518,"01-10-2023 15:30:30"
PVH,101.47,60,"4,691",131,5388033,217,6904464,53,49019672,401,61312169,40,553727,65,1427500,"01-10-2023 15:30:30"
PVL,5.55,33,5,16,159952,6,25726,7,1646173,29,1831851,7,87527,2,17553,"01-10-2023 15:30:30"
PW,26.23,3,1,8,48804,13,91267,4,749066,25,889137,2,25236,4,33075,"01-10-2023 15:30:30"
PWFL,70.16,36,53,23,2925387,17,4293863,14,18202230,54,25421480,3,251463,7,3042802,"01-10-2023 15:30:30"
PWOD,25.22,7,38,32,595332,12,132968,4,1053958,48,1782258,15,114940,6,112833,"01-10-2023 15:30:30"
PWP,83.42,43,361,51,4438729,52,3878154,11,27165034,114,35481917,16,921683,12,1181863,"01-10-2023 15:30:30"
PWR,90.46,145,"24,571",414,6681162,448,7062719,141,117601090,"1,003",131344971,101,1647775,59,490782,"01-10-2023 15:30:30"
PWSC,80.45,164,"2,981",97,13512723,72,7768210,17,110283878,186,131564811,25,3046327,41,4242866,"01-10-2023 15:30:30"
PWUP,18.95,9,18,8,791470,59,25484489,0,24571726,67,1704233,6,670324,53,22357724,"01-10-2023 15:30:30"
PWUPU,0.38,25,1,1,2204,10,543135,2,449802,13,95537,0,0,10,543135,"01-10-2023 15:30:30"
PX,70.98,44,362,55,5142610,29,2259424,10,23713478,94,31115512,26,617740,18,1095622,"01-10-2023 15:30:30"
PXD,82.94,233,"44,388",698,12486974,543,19828089,149,161056311,"1,390",193371374,169,3756440,85,1987439,"01-10-2023 15:30:30"
PXLW,25.13,56,16,24,760519,17,868300,11,12498931,52,14127750,7,130725,4,135406,"01-10-2023 15:30:30"
PXMD,1.23,17,0,4,98715,5,48950,3,63229,12,210894,2,94973,4,45240,"01-10-2023 15:30:30"
PXS,4.92,11,2,7,150948,5,71263,1,311334,13,533545,3,139357,1,2000,"01-10-2023 15:30:30"
PXSAP,2.68,0,0,0,0,2,28765,2,17950,4,10815,0,0,2,28765,"01-10-2023 15:30:30"
PYCR,37.06,177,"1,499",87,4832540,83,4455975,18,56353703,188,65642218,21,962195,26,1539961,"01-10-2023 15:30:30"
PYN,10.75,6,3,7,155836,7,56374,9,405344,23,617554,3,72338,2,35325,"01-10-2023 15:30:30"
PYPD,0.86,2,0,6,4843,4,610,4,8681,14,14134,4,4549,0,0,"01-10-2023 15:30:30"
PYPL,69.92,"1,098","44,882",886,67922074,"1,061",101473793,208,598348021,"2,155",767743888,160,13782797,236,25613295,"01-10-2023 15:30:30"
PYR,0.41,179,0,4,63584,18,108612,2,561072,24,733268,2,4484,6,54387,"01-10-2023 15:30:30"
PYXS,23.04,44,20,36,1284187,25,2054301,9,6768188,70,10106676,14,211761,15,994921,"01-10-2023 15:30:30"
PZC,10.78,22,17,12,247860,8,107431,12,2064981,32,2420272,0,0,4,63721,"01-10-2023 15:30:30"
PZG,5.14,59,1,7,370609,10,566493,12,2089884,29,3026986,4,79994,4,150547,"01-10-2023 15:30:30"
PZZA,110.55,33,"2,469",121,2989270,161,3724000,27,29478398,309,36191668,33,327469,44,629844,"01-10-2023 15:30:30"
QBTS,72.66,99,69,31,1409891,10,810643,6,69645664,47,71866198,17,813774,8,771532,"01-10-2023 15:30:30"
QCOM,73.01,"1,116","90,487","1,111",43847142,"1,120",51084231,277,719824641,"2,508",814756014,142,7940217,180,3727122,"01-10-2023 15:30:30"
QCRH,67.68,17,549,71,544450,59,578697,21,10189089,151,11312236,19,192135,15,155970,"01-10-2023 15:30:30"
QD,9.75,190,39,17,457939,17,642991,12,17443074,46,18544004,8,126336,9,158053,"01-10-2023 15:30:30"
QDEL,94.74,67,"4,622",143,3108831,178,3219919,57,56947784,378,63276534,43,561369,60,740215,"01-10-2023 15:30:30"
QDRO,27.08,9,25,7,226763,4,224712,12,1930940,23,2382415,0,0,3,148560,"01-10-2023 15:30:30"
QDROU,0.02,23,0,0,0,4,135232,0,131687,4,3545,0,0,3,130423,"01-10-2023 15:30:30"
QFIN,33.33,318,"1,628",68,9006393,90,8582690,22,88420176,180,106009259,17,3763107,25,2582226,"01-10-2023 15:30:30"
QFTA,29.42,10,32,5,206524,12,790707,9,1969114,26,2966345,1,156734,6,589394,"01-10-2023 15:30:30"
QGEN,61.99,228,"5,725",157,19730624,131,19190512,47,102443722,335,141364858,42,2989551,48,5468836,"01-10-2023 15:30:30"
QH,0.03,55,0,2,13362,2,41528,1,38528,5,16362,2,13362,2,41528,"01-10-2023 15:30:30"
QIPT,40.84,42,87,59,5915267,30,1750257,16,9518164,105,17183688,39,2804949,19,579965,"01-10-2023 15:30:30"
QLGN,1.5,5,0,4,3531,2,10084,9,62090,15,75705,2,897,0,0,"01-10-2023 15:30:30"
QLI,0.07,36,0,0,0,1,1807,2,23628,3,25435,0,0,1,1807,"01-10-2023 15:30:30"
QLYS,97.81,37,"5,478",170,1984642,212,1789752,57,32133207,439,35907601,40,374382,42,213640,"01-10-2023 15:30:30"
QMCO,65.42,95,38,25,4366932,27,2333546,29,55470695,81,62171173,7,3904304,12,1137047,"01-10-2023 15:30:30"
QNCX,24.67,36,10,15,1982518,20,970308,16,6021472,51,8974298,8,1706012,9,113233,"01-10-2023 15:30:30"
QNRX,0.0,"59,233",0,2,4078,4,16029,1,16028,7,4079,2,4078,4,16029,"01-10-2023 15:30:30"
QNST,88.76,55,436,78,6520070,75,6245956,20,35813509,173,48579535,27,746679,31,5173948,"01-10-2023 15:30:30"
QOMO,81.23,5,41,13,1152391,10,716879,4,2036588,27,3905858,8,1082224,5,451728,"01-10-2023 15:30:30"
QQQX,22.5,47,238,54,916019,42,536070,26,9129492,122,10581581,15,129121,12,283035,"01-10-2023 15:30:30"
QRHC,32.5,20,48,10,179093,20,168197,14,6081944,44,6429234,1,57808,8,31477,"01-10-2023 15:30:30"
QRTEA,74.45,380,172,91,41540632,148,63486958,69,177964183,308,282991773,39,14951132,65,11519179,"01-10-2023 15:30:30"
QRTEB,5.06,9,3,17,343211,4,16104,1,80637,22,439952,16,342665,1,10837,"01-10-2023 15:30:30"
QRTEP,0.07,13,0,1,491,2,2153,3,5736,6,8380,1,491,1,3,"01-10-2023 15:30:30"
QRVO,86.9,98,"8,123",221,9111010,301,11433708,98,64543377,620,85088095,73,2727956,66,794868,"01-10-2023 15:30:30"
QS,29.61,420,832,132,13364427,128,5354513,104,105650630,364,124369570,36,2990710,36,1386314,"01-10-2023 15:30:30"
QSG,0.01,116,0,1,1590,4,46166,0,32629,5,15127,1,1590,3,38900,"01-10-2023 15:30:30"
QSI,36.24,122,73,43,5334675,35,4976585,27,33818965,105,44130225,8,994517,16,2935767,"01-10-2023 15:30:30"
QSR,80.3,319,"17,087",204,13480967,202,19194943,80,223806849,486,256482759,59,2375364,51,2205800,"01-10-2023 15:30:30"
QTRX,86.67,38,883,67,5312867,70,5620309,26,21614609,163,32547785,26,807865,23,1357939,"01-10-2023 15:30:30"
QTWO,102.24,58,"1,928",105,10563730,107,8481008,31,40713214,243,59757952,36,1208015,34,1575041,"01-10-2023 15:30:30"
QUAD,44.03,38,84,32,1481343,48,1882890,20,13349815,100,16714048,14,927055,11,1141753,"01-10-2023 15:30:30"
QUBT,3.97,74,3,20,773792,9,72615,13,2104116,42,2950523,8,355975,6,70409,"01-10-2023 15:30:30"
QUIK,22.61,14,27,18,323084,6,33155,12,2777836,36,3134075,8,215415,3,20971,"01-10-2023 15:30:30"
QURE,75.73,48,242,97,5455443,95,10780955,26,19890690,218,36127088,38,1245941,37,4790776,"01-10-2023 15:30:30"
QVCD,0.0,9,0,0,0,1,4000,0,4000,1,0,0,0,1,4000,"01-10-2023 15:30:30"
R,85.82,46,"4,179",149,2491401,210,4050968,51,32530109,410,39072478,40,299599,55,628249,"01-10-2023 15:30:30"
RA,11.95,52,76,34,309491,46,708321,19,5159283,99,6177095,10,54585,16,177875,"01-10-2023 15:30:30"
RACE,31.43,182,"16,870",252,4394048,214,5888746,99,46798318,565,57081112,85,1511600,43,547331,"01-10-2023 15:30:30"
RAD,34.48,57,9,38,3820567,88,12143230,37,3586868,163,19550665,22,2115112,50,1512808,"01-10-2023 15:30:30"
RAIL,23.09,18,11,8,15381,9,95714,13,4021830,30,4132925,1,1001,1,58600,"01-10-2023 15:30:30"
RAIN,46.17,36,14,51,8255990,35,12544740,5,4005338,91,16795392,30,4957760,27,10876770,"01-10-2023 15:30:30"
RAMP,92.05,66,"1,758",94,5764305,125,6095818,39,49087189,258,60947312,23,1051688,40,2205714,"01-10-2023 15:30:30"
RAND,3.28,3,1,1,1,3,1810,4,82834,8,84645,1,1,2,310,"01-10-2023 15:30:30"
RANI,13.12,26,7,17,432389,7,347926,17,2569580,41,3349895,5,86885,4,136968,"01-10-2023 15:30:30"
RAPT,107.18,34,612,50,3521222,51,3067961,21,30234992,122,36824175,12,1469694,17,826933,"01-10-2023 15:30:30"
RARE,97.62,71,"2,488",136,8893612,113,7926714,28,52967255,277,69787581,44,3815195,33,860559,"01-10-2023 15:30:30"
RAVE,8.55,14,3,6,83706,5,54260,11,1072434,22,1210400,3,81039,1,200,"01-10-2023 15:30:30"
RAYA,0.0,11,0,0,0,2,2497,0,2487,2,10,0,0,1,1500,"01-10-2023 15:30:30"
RBA,93.5,182,"10,643",197,34063176,258,27398258,58,108833585,513,170295019,46,3694269,114,13632368,"01-10-2023 15:30:30"
RBB,39.98,19,97,40,648820,37,540529,12,6404926,89,7594275,13,151969,12,197071,"01-10-2023 15:30:30"
RBBN,70.93,171,325,73,9171528,61,7401283,23,104815698,157,121388509,14,461563,29,3530115,"01-10-2023 15:30:30"
RBC,103.43,29,"7,036",162,2063779,148,3036158,60,24952189,370,30052126,65,953554,36,257875,"01-10-2023 15:30:30"
RBCAA,27.14,17,208,34,208717,46,250428,19,4259665,99,4718810,8,101233,12,129706,"01-10-2023 15:30:30"
RBCP,87.67,5,444,23,576852,12,535630,5,2920194,40,4032676,8,203235,5,284890,"01-10-2023 15:30:30"
RBKB,15.68,11,12,10,128042,8,195215,4,1414842,22,1738099,4,105847,1,300,"01-10-2023 15:30:30"
RBLX,70.65,567,"11,594",274,31021627,264,22916584,164,346410444,702,400348655,85,7879423,90,6452379,"01-10-2023 15:30:30"
RBOT,31.16,153,28,41,2017802,26,546942,21,45006880,88,47571624,11,194726,14,268647,"01-10-2023 15:30:30"
RBT,13.19,34,9,25,2825619,12,83669,13,1625670,50,4534958,10,472635,8,57583,"01-10-2023 15:30:30"
RC,52.22,172,908,134,13006247,141,12708369,45,64082663,320,89797279,26,883596,60,4761870,"01-10-2023 15:30:30"
RCAC,48.42,8,39,6,1027638,31,11642912,4,8969134,41,3701416,6,1027638,24,8373001,"01-10-2023 15:30:30"
RCACU,0.2,15,0,4,13654,12,1830782,0,1814825,16,29611,2,6811,12,1830782,"01-10-2023 15:30:30"
RCAT,7.52,56,4,13,545054,13,180058,16,3459521,42,4184633,7,449781,6,45014,"01-10-2023 15:30:30"
RCEL,29.82,25,111,48,3170509,34,1489293,14,2936764,96,7596566,23,698559,17,403285,"01-10-2023 15:30:30"
RCFA,65.98,19,135,7,1334742,43,10858527,9,187614,59,12380883,1,749549,29,7486760,"01-10-2023 15:30:30"
RCG,16.27,7,2,3,32490,4,3542,5,1105230,12,1141262,0,0,1,369,"01-10-2023 15:30:30"
RCI,53.77,417,"8,617",129,14541607,131,19665686,48,190241405,308,224448698,28,1950842,32,4331087,"01-10-2023 15:30:30"
RCKT,95.19,81,"1,571",85,4291899,75,7056437,31,65304805,191,76653141,21,822491,20,2509113,"01-10-2023 15:30:30"
RCKY,76.12,7,82,30,555394,31,368987,10,4682490,71,5606871,7,166430,11,221917,"01-10-2023 15:30:30"
RCL,76.55,256,"18,069",368,20543351,293,11163194,140,164396751,801,196103296,161,7188399,51,1444195,"01-10-2023 15:30:30"
RCM,62.44,419,"3,942",107,27024345,129,30681590,34,203879948,270,261585883,29,3031674,39,6113932,"01-10-2023 15:30:30"
RCMT,34.02,8,53,22,409784,33,923238,6,1379999,61,2713021,8,255580,13,600418,"01-10-2023 15:30:30"
RCON,12.12,41,2,4,130820,4,1350481,5,3432332,13,4913633,3,130219,0,0,"01-10-2023 15:30:30"
RCRT,1.18,1,0,7,9969,3,3533,3,3052,13,16554,4,5867,2,3531,"01-10-2023 15:30:30"
RCS,14.93,45,36,22,318540,25,785107,12,5583706,59,6687353,7,83141,11,360953,"01-10-2023 15:30:30"
RCUS,73.54,75,983,89,8259518,95,9267638,28,37260041,212,54787197,28,4038288,26,1110870,"01-10-2023 15:30:30"
RDCM,28.29,15,37,5,94038,8,152730,5,3992326,18,4239094,0,0,2,100263,"01-10-2023 15:30:30"
RDFN,79.5,114,638,103,8086029,92,5409011,57,77110334,252,90605374,38,1106002,23,322645,"01-10-2023 15:30:30"
RDHL,0.01,"2,342",0,10,341651,9,286683,8,282524,27,345810,6,341370,6,285202,"01-10-2023 15:30:30"
RDI,56.26,21,25,11,578806,12,198729,13,10808214,36,11585749,4,347566,1,476,"01-10-2023 15:30:30"
RDIB,9.92,2,3,2,18811,3,2133,4,145720,9,166664,1,18519,1,4,"01-10-2023 15:30:30"
RDN,98.99,157,"3,913",133,7385922,154,20655202,43,127791074,330,155832198,48,1190838,37,1603821,"01-10-2023 15:30:30"
RDNT,74.87,68,"1,430",113,13007081,52,2183530,31,35554061,196,50744672,44,4822217,12,190625,"01-10-2023 15:30:30"
RDUS,82.95,27,631,85,2006503,82,1571087,21,19077684,188,22655274,22,310794,15,247131,"01-10-2023 15:30:30"
RDVT,55.08,14,153,35,482205,17,310456,7,6870532,59,7663193,8,51991,5,231776,"01-10-2023 15:30:30"
RDW,8.53,65,16,16,615717,35,942911,15,3966163,66,5524791,6,127878,11,190766,"01-10-2023 15:30:30"
